"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-01","0.00","0.0","17.0","15","24","5",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-02","0.00","0.0","15.0","12","19","5",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-03","0.00","0.0","14.0","18","28","7",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-04","0.00","0.0","14.0","25","30","19",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-05","0.00","0.0","13.0","29","36","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-06","0.00","0.0","12.0","25","33","17",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-07","0.00","0.0","12.0","28","34","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-08","0.00","0.0","12.0","19","26","12",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-09","0.00","0.0","12.0","17","23","10",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-10","0.00","0.0","11.0","26","34","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-11","0.00","0.0","11.0","29","39","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-12","0.00","0.0","11.0","30","37","23",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-13","0.00","0.0","10.0","34","36","32",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-14","0.15","0.0","8.0","34","36","32",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-15","0.05","0.0","6.0","33","35","31",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-16","0.00","0.0","6.0","29","31","26","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-17","0.00","0.0","6.0","23","26","19",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-18","0.00","0.0","6.0","25","31","19",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-19","0.00","0.0","5.0","22","27","17",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-20","0.00","0.0","5.0","18","24","11",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-21","0.00","0.0","5.0","17","25","9",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-22","0.00","0.0","5.0","18","29","6",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-23","0.00","0.0","5.0","28","35","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-24","0.00","0.0","5.0","22","28","16",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-25","0.00","0.0","5.0","19","25","13",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-26","0.06","1.0","5.0","26","31","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-27","0.00","0.0","5.0","21","26","15",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-28","0.03","0.1","5.0","22","29","14",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-29","0.62","0.0","5.0","34","42","29",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-30","0.21","0.4","2.0","36","40","32",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-31","0.00","0.0","2.0","31","35","27",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-01","0.00","0.0","2.0","18","32","4",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-02","0.00","0.0","1.0","0","12","-2",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-03","0.01","0.3","1.0","20","30","10",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-04","0.03","0.1","2.0","30","34","26",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-05","0.01","0.2","1.0","29","32","26",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-06","0.00","0.0","1.0","28","36","20",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-07","0.05","0.0","0.0","26","35","17",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-08","0.58","0.0","0.0","44","53","34",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-09","0.52","1.1","0.0","37","54","20",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-10","0.00","0.0","1.0","16","20","12",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-11","0.00","0.0","1.0","19","27","10",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-12","0.00","0.0","1.0","29","38","20",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-13","0.01","0.0","0.0","35","38","31",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-14","0.22","0.1","0.0","33","37","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-15","0.00","0.0","0.0","29","32","26",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-16","0.00","0.0","0.0","23","31","14",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-17","0.00","0.0","0.0","13","19","6",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-18","0.00","0.0","0.0","18","28","7",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-19","0.00","0.0","0.0","35","42","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-20","0.00","0.0","0.0","27","36","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-21","0.00","0.0","0.0","15","21","9",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-22","0.03","0.4","0.0","23","27","19",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-23","0.00","0.0","0.0","24","30","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-24","1.11","0.0","0.0","43","56","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-25","0.00","0.0","0.0","42","55","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-26","0.00","0.0","0.0","31","40","22",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-27","0.00","0.0","0.0","23","29","17","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-28","0.00","0.0","0.0","20","28","11",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-01","0.00","0.0","0.0","31","42","20",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-02","0.00","0.0","0.0","35","42","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-03","0.00","0.0","0.0","36","49","22",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-04","0.00","0.0","0.0","30","35","24",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-05","0.00","0.0","0.0","23","28","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-06","0.00","0.0","0.0","28","34","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-07","0.00","0.0","0.0","33","44","22",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-08","0.01","0.1","0.0","31","35","27",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-09","0.00","0.0","0.0","31","38","23","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-10","0.04","0.0","0.0","34","50","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-11","0.03","0.1","0.0","33","38","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-12","0.22","0.0","0.0","40","49","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-13","0.00","0.0","0.0",,"42","31",
